"com_code","com_annee","com_type","popref_annee","popref_mun","popref_a_part","popref_tot","popref_date_maj"
"01210","2024","COM","2022","236","4","240","2024-12-30"
"01211","2024","COM","2022","1459","34","1493","2024-12-30"
"01212","2024","COM","2022","720","8","728","2024-12-30"
"01213","2024","COM","2022","1417","31","1448","2024-12-30"
"01214","2024","COM","2022","163","5","168","2024-12-30"
"01215","2024","COM","2022","140","4","144","2024-12-30"
"01216","2024","COM","2022","891","21","912","2024-12-30"
"01219","2024","COM","2022","162","4","166","2024-12-30"
"01224","2024","COM","2022","3468","37","3505","2024-12-30"
"01225","2024","COM","2022","404","16","420","2024-12-30"
"01227","2024","COM","2022","651","12","663","2024-12-30"
"01228","2024","COM","2022","693","14","707","2024-12-30"
"01229","2024","COM","2022","1235","27","1262","2024-12-30"
"01230","2024","COM","2022","320","7","327","2024-12-30"
"01231","2024","COM","2022","1985","42","2027","2024-12-30"
"01232","2024","COM","2022","2262","44","2306","2024-12-30"
"01233","2024","COM","2022","135","5","140","2024-12-30"
"01234","2024","COM","2022","164","3","167","2024-12-30"
"01235","2024","COM","2022","1186","84","1270","2024-12-30"
"01236","2024","COM","2022","1034","29","1063","2024-12-30"
"01237","2024","COM","2022","1667","41","1708","2024-12-30"
"01238","2024","COM","2022","2733","61","2794","2024-12-30"
"01239","2024","COM","2022","653","9","662","2024-12-30"
"01240","2024","COM","2022","630","18","648","2024-12-30"
"01241","2024","COM","2022","1383","35","1418","2024-12-30"
"01242","2024","COM","2022","133","2","135","2024-12-30"
"01243","2024","COM","2022","1312","39","1351","2024-12-30"
"01244","2024","COM","2022","8198","143","8341","2024-12-30"
"01245","2024","COM","2022","951","26","977","2024-12-30"
"01246","2024","COM","2022","2179","37","2216","2024-12-30"
"01247","2024","COM","2022","297","13","310","2024-12-30"
"01248","2024","COM","2022","2309","56","2365","2024-12-30"
"01249","2024","COM","2022","10450","156","10606","2024-12-30"
"01250","2024","COM","2022","2010","276","2286","2024-12-30"
"01252","2024","COM","2022","824","24","848","2024-12-30"
"01254","2024","COM","2022","2164","45","2209","2024-12-30"
"01255","2024","COM","2022","684","12","696","2024-12-30"
"01257","2024","COM","2022","348","9","357","2024-12-30"
"01258","2024","COM","2022","1202","23","1225","2024-12-30"
"01259","2024","COM","2022","715","17","732","2024-12-30"
"01260","2024","COM","2022","329","7","336","2024-12-30"
"01261","2024","COM","2022","673","10","683","2024-12-30"
"01262","2024","COM","2022","6879","77","6956","2024-12-30"
"01263","2024","COM","2022","3798","90","3888","2024-12-30"
"01264","2024","COM","2022","1008","19","1027","2024-12-30"
"01265","2024","COM","2022","3584","87","3671","2024-12-30"
"01266","2024","COM","2022","2661","45","2706","2024-12-30"
"01267","2024","COM","2022","973","29","1002","2024-12-30"
"01268","2024","COM","2022","239","3","242","2024-12-30"
"01269","2024","COM","2022","3431","160","3591","2024-12-30"
"01272","2024","COM","2022","1540","19","1559","2024-12-30"
"01273","2024","COM","2022","1798","25","1823","2024-12-30"
"01274","2024","COM","2022","623","13","636","2024-12-30"
"01275","2024","COM","2022","2479","40","2519","2024-12-30"
"01276","2024","COM","2022","1648","19","1667","2024-12-30"
"01277","2024","COM","2022","119","1","120","2024-12-30"
"01279","2024","COM","2022","72","2","74","2024-12-30"
"01280","2024","COM","2022","146","3","149","2024-12-30"
"01281","2024","COM","2022","4903","104","5007","2024-12-30"
"01282","2024","COM","2022","258","8","266","2024-12-30"
"01283","2024","COM","2022","22378","426","22804","2024-12-30"
"01284","2024","COM","2022","721","14","735","2024-12-30"
"01285","2024","COM","2022","1317","31","1348","2024-12-30"
"01286","2024","COM","2022","943","37","980","2024-12-30"
"01288","2024","COM","2022","2900","62","2962","2024-12-30"
"01289","2024","COM","2022","6437","248","6685","2024-12-30"
"01290","2024","COM","2022","1382","32","1414","2024-12-30"
"01291","2024","COM","2022","861","21","882","2024-12-30"
"01293","2024","COM","2022","150","4","154","2024-12-30"
"01294","2024","COM","2022","918","19","937","2024-12-30"
"01295","2024","COM","2022","656","10","666","2024-12-30"
"01296","2024","COM","2022","400","10","410","2024-12-30"
"01297","2024","COM","2022","922","16","938","2024-12-30"
"01298","2024","COM","2022","166","2","168","2024-12-30"
"01299","2024","COM","2022","569","8","577","2024-12-30"
"01301","2024","COM","2022","2694","48","2742","2024-12-30"
"01302","2024","COM","2022","167","4","171","2024-12-30"
"01303","2024","COM","2022","1766","26","1792","2024-12-30"
"01304","2024","COM","2022","2862","50","2912","2024-12-30"
"01305","2024","COM","2022","2184","42","2226","2024-12-30"
"01306","2024","COM","2022","1600","88","1688","2024-12-30"
"01307","2024","COM","2022","843","21","864","2024-12-30"
"01308","2024","COM","2022","792","13","805","2024-12-30"
"01309","2024","COM","2022","79","3","82","2024-12-30"
"01310","2024","COM","2022","245","3","248","2024-12-30"
"01311","2024","COM","2022","47","1","48","2024-12-30"
"01313","2024","COM","2022","9081","256","9337","2024-12-30"
"01314","2024","COM","2022","1803","23","1826","2024-12-30"
"01317","2024","COM","2022","332","6","338","2024-12-30"
"01318","2024","COM","2022","760","19","779","2024-12-30"
"01319","2024","COM","2022","467","9","476","2024-12-30"
