LIBCOM,nb,zone,Code
Villenave-d'Ornon,3602,reg75,33550
Villeneuve-d'Ascq,12157,reg32,59009
Villeneuve-la-Garenne,5006,IDF_DEP_92,92078
Villeneuve-Saint-Georges,4783,IDF_DEP_94,94078
Villeurbanne,19507,reg84,69266
Villiers-le-Bel,5140,IDF_DEP_95,95680
Villiers-sur-Marne,3439,IDF_DEP_94,94079
Vincennes,2632,IDF_DEP_94,94080
Vitry-sur-Seine,13573,IDF_DEP_94,94081
Voiron,2485,reg84,38563
Wattrelos,5474,reg32,59650
