"","id_brut_reu","id_brut_insee","code_commune","code","libelle_reu","num_voie_reu","voie_reu","cp_reu","commune_reu","nb_adresses_initial","nb_adresses_final","id_brut_miom"
"38777","59350_15","59350_15","59350","15","ecole victor hugo","0","RUE HENRI BAILLEUX","59160","lomme",661,650,"59350_0015"
"38778","59350_16","59350_16","59350","16","maison des enfants","796","AVENUE DE DUNKERQUE","59160","lomme",521,517,"59350_0016"
"38779","59350_17","59350_17","59350","17","maison folie beaulieu","0","PLACE BEAULIEU","59160","lomme",462,460,"59350_0017"
"38780","59350_18","59350_18","59350","18","ecole langevin","0","AVENUE ARTHUR NOTEBART","59160","lomme",516,513,"59350_0018"
"38781","59350_2","59350_2","59350","2","ecole george sand","37","AVENUE DE LA REPUBLIQUE","59160","lomme",680,676,"59350_0002"
"38782","59350_201","59350_201","59350","201","hotel de ville","0","PLACE AUGUSTIN LAURENT","59000","lille",614,598,"59350_0201"
"38783","59350_203","59350_203","59350","203","hotel de ville","0","PLACE AUGUSTIN LAURENT","59000","lille",1196,1173,"59350_0203"
"38784","59350_204","59350_204","59350","204","ecole broca","0","RUE BROCA","59000","lille",712,707,"59350_0204"
"38785","59350_206","59350_206","59350","206","salle mariotte","1","RUE MARIOTTE","59000","lille",547,541,"59350_0206"
"38786","59350_207","59350_207","59350","207","espace sportif de defaucompret","72","RUE DU LONG POT","59000","lille",596,585,"59350_0207"
"38787","59350_208","59350_208","59350","208","mairie de quartier de fives","127 TER","RUE PIERRE LEGRAND","59000","lille",730,719,"59350_0208"
"38788","59350_209","59350_209","59350","209","espace sportif de defaucompret","72","RUE DU LONG POT","59000","lille",736,729,"59350_0209"
"38789","59350_251","59350_251","59350","251","centre gustave engrand","208","RUE FAIDHERBE","59260","hellemmes",552,546,"59350_0251"
"38790","59350_252","59350_252","59350","252","ecole jean jaures","5","RUE ANATOLE FRANCE","59260","hellemmes",643,628,"59350_0252"
"38791","59350_253","59350_253","59350","253","ecole de musique","1","RUE MARCEAU","59260","hellemmes",678,660,"59350_0253"
"38792","59350_254","59350_254","59350","254","ecole berthelot","65","RUE JULES FERRY","59260","hellemmes",491,490,"59350_0254"
"38793","59350_255","59350_255","59350","255","mairie d hellemmes salle du parc","155","RUE ROGER SALENGRO","59260","hellemmes",735,649,"59350_0255"
"38794","59350_256","59350_256","59350","256","espace des acacias","0","PLACE JOSEPH HENTGES","59260","hellemmes",831,818,"59350_0256"
"38795","59350_257","59350_257","59350","257","espace des acacias rotonde","0","PLACE JOSEPH HENTGES","59260","hellemmes",615,613,"59350_0257"
"38796","59350_258","59350_258","59350","258","salle oudart","0","RUE DEWAS","59260","hellemmes",470,460,"59350_0258"
"38797","59350_259","59350_259","59350","259","ecole jenner","49","RUE DES ECOLES","59260","hellemmes",692,680,"59350_0259"
"38798","59350_260","59350_260","59350","260","salle monchy","49","RUE DES ECOLES","59260","hellemmes",522,521,"59350_0260"
"38799","59350_261","59350_261","59350","261","ecole edouard herriot","100","PAVE DU MOULIN","59260","hellemmes",274,266,"59350_0261"
"38800","59350_262","59350_262","59350","262","tiers lieu","29","BOULEVARD DE L'EPINE","59260","hellemmes",547,546,"59350_0262"
"38801","59350_263","59350_263","59350","263","ecole dombrowski"," ","PLACE PAUL DOMBROWSKI","59260","hellemmes",502,498,"59350_0263"
"38802","59350_3","59350_3","59350","3","ecole michelet","0","RUE DU XXEME SIECLE","59160","lomme",699,656,"59350_0003"
"38803","59350_301","59350_301","59350","301","salle polyvalente halle aux sucres","1","RUE DE L'ENTREPOT","59000","lille",571,565,"59350_0301"
"38804","59350_302","59350_302","59350","302","salle polyvalente halle aux sucres","1","RUE DE L'ENTREPOT","59000","lille",560,558,"59350_0302"
"38805","59350_303","59350_303","59350","303","salle polyvalente halle aux sucres","1","RUE DE L'ENTREPOT","59000","lille",636,631,"59350_0303"
"38806","59350_304","59350_304","59350","304","salle d evolution sportive","0","RUE DE LA HALLE","59000","lille",1167,1160,"59350_0304"
"38807","59350_305","59350_305","59350","305","salle du local jeunes","0","RUE DE LA HALLE","59000","lille",1339,1339,"59350_0305"
"38808","59350_4","59350_4","59350","4","ecole voltaire","1- 3","RUE EMILE ZOLA","59160","lomme",588,586,"59350_0004"
"38809","59350_401","59350_401","59350","401","ecole berthelot","21","RUE BOHIN","59000","lille",613,598,"59350_0401"
"38810","59350_402","59350_402","59350","402","ecole berthelot","21","RUE BOHIN","59000","lille",649,642,"59350_0402"
"38811","59350_403","59350_403","59350","403","ecole jules ferry","0","RUE SAINT JUST","59000","lille",722,712,"59350_0403"
"38812","59350_405","59350_405","59350","405","ecole jules ferry","0","RUE SAINT JUST","59000","lille",717,704,"59350_0405"
"38813","59350_406","59350_406","59350","406","ecole jules ferry","0","RUE SAINT JUST","59000","lille",766,765,"59350_0406"
"38814","59350_407","59350_407","59350","407","groupe scolaire jean zay restaurant scolaire","1","RUE HIPPOLYTE LEFEBVRE","59000","lille",686,681,"59350_0407"
"38815","59350_408","59350_408","59350","408","ecole anatole france","140","RUE DU BUISSON","59000","lille",770,766,"59350_0408"
"38816","59350_409","59350_409","59350","409","ecole anatole france","140","RUE DU BUISSON","59000","lille",560,557,"59350_0409"
"38817","59350_410","59350_410","59350","410","ecole anatole france","15","RUE ALPHONSE LEROY","59000","lille",778,776,"59350_0410"
"38818","59350_411","59350_411","59350","411","groupe scolaire jean zay restaurant scolaire","1","RUE HIPPOLYTE LEFEBVRE","59000","lille",831,791,"59350_0411"
"38819","59350_412","59350_412","59350","412","restaurant scolaire la fontaine","76","RUE SAINT GABRIEL","59000","lille",568,567,"59350_0412"
"38820","59350_413","59350_413","59350","413","ecole les dondaines dupleix","25- 27","RUE EUGENE JACQUET","59000","lille",433,433,"59350_0413"
"38821","59350_414","59350_414","59350","414","ecole les dondaines dupleix","25-  27","RUE EUGENE JACQUET","59000","lille",804,783,"59350_0414"
"38822","59350_415","59350_415","59350","415","ecole jenner","0","RUE DES CELESTINES","59000","lille",1010,999,"59350_0415"
"38823","59350_416","59350_416","59350","416","ecole anatole france","15","RUE ALPHONSE LEROY","59000","lille",723,722,"59350_0416"
"38824","59350_417","59350_417","59350","417","ecole anatole france","15","RUE ALPHONSE LEROY","59000","lille",473,472,"59350_0417"
"38825","59350_419","59350_419","59350","419","groupe scolaire jean zay restaurant scolaire","1","RUE HIPPOLYTE LEFEBVRE","59000","lille",562,559,"59350_0419"
"38826","59350_420","59350_420","59350","420","ecole les dondaines dupleix","25-  27","RUE EUGENE JACQUET","59000","lille",836,834,"59350_0420"
"38827","59350_5","59350_5","59350","5","ecole sevigne","1- 3","RUE EMILE ZOLA","59160","lomme",751,691,"59350_0005"
"38828","59350_501","59350_501","59350","501","ecole jean jacques rousseau","6","RUE DU LIEUTENANT COLPIN","59000","lille",450,435,"59350_0501"
"38829","59350_502","59350_502","59350","502","ecole jean jacques rousseau","6","RUE DU LIEUTENANT COLPIN","59000","lille",484,475,"59350_0502"
"38830","59350_503","59350_503","59350","503","ecole branly","0","RUE DU GROS GERARD","59000","lille",589,571,"59350_0503"
"38831","59350_504","59350_504","59350","504","ecole branly","0","RUE DU GROS GERARD","59000","lille",576,571,"59350_0504"
"38832","59350_6","59350_6","59350","6","ecole roger salengro cote garcons","259","AVENUE ARTHUR NOTEBART","59160","lomme",571,570,"59350_0006"
"38833","59350_601","59350_601","59350","601","ecole victor hugo","2","RUE ARAGO","59000","lille",956,938,"59350_0601"
"38834","59350_604","59350_604","59350","604","ecole arago restaurant scolaire","133","BOULEVARD VICTOR HUGO","59000","lille",1039,1029,"59350_0604"
"38835","59350_605","59350_605","59350","605","residence wazemmes","48","RUE DES MEUNIERS","59000","lille",502,501,"59350_0605"
"38836","59350_607","59350_607","59350","607","ecole arago restaurant scolaire","133","BOULEVARD VICTOR HUGO","59000","lille",730,721,"59350_0607"
"38837","59350_608","59350_608","59350","608","ecole jean bart entree cour","0","PLACE EDITH CAVELL","59000","lille",477,477,"59350_0608"
"38838","59350_609","59350_609","59350","609","salle de sports bardou","2","RUE PAUL BARDOU","59000","lille",569,568,"59350_0609"
"38839","59350_610","59350_610","59350","610","ecole la bruyere restaurant scolaire","0","RUE DE LA PREVOYANCE","59000","lille",574,573,"59350_0610"
"38840","59350_611","59350_611","59350","611","ecole la bruyere restaurant scolaire","0","RUE DE LA PREVOYANCE","59000","lille",448,446,"59350_0611"
"38841","59350_612","59350_612","59350","612","ecole florian","5","RUE D'ARSONVAL","59000","lille",727,724,"59350_0612"
"38842","59350_613","59350_613","59350","613","ecole florian","5","RUE D'ARSONVAL","59000","lille",619,618,"59350_0613"
"38843","59350_614","59350_614","59350","614","groupe scolaire armand carrel restaurant scolaire","0","BOULEVARD DE BELFORT","59000","lille",692,688,"59350_0614"
"38844","59350_615","59350_615","59350","615","groupe scolaire armand carrel restaurant scolaire","0","BOULEVARD DE BELFORT","59000","lille",928,923,"59350_0615"
"38845","59350_616","59350_616","59350","616","restaurant scolaire les moulins","7","RUE VICTOR DURUY","59000","lille",1123,1108,"59350_0616"
"38846","59350_618","59350_618","59350","618","restaurant scolaire les moulins","7","RUE VICTOR DURUY","59000","lille",951,943,"59350_0618"
"38847","59350_619","59350_619","59350","619","restaurant scolaire les moulins","7","RUE VICTOR DURUY","59000","lille",1022,1018,"59350_0619"
"38848","59350_620","59350_620","59350","620","hotel de ville","0","PLACE AUGUSTIN LAURENT","59000","lille",596,575,"59350_0620"
"38849","59350_621","59350_621","59350","621","ecole mozart restaurant scolaire","3","PARVIS SAINT MICHEL","59000","lille",721,721,"59350_0621"
"38850","59350_622","59350_622","59350","622","ecole mozart restaurant scolaire","3","PARVIS SAINT MICHEL","59000","lille",797,795,"59350_0622"
"38851","59350_623","59350_623","59350","623","ecole michelet","18","RUE FABRICY","59000","lille",539,537,"59350_0623"
"38852","59350_624","59350_624","59350","624","ecole michelet","18","RUE FABRICY","59000","lille",607,603,"59350_0624"
"38853","59350_625","59350_625","59350","625","salle de sports jean calin","1","PLACE MICHELET","59000","lille",1070,1067,"59350_0625"
"38854","59350_626","59350_626","59350","626","ecole richard wagner","33","RUE RICHARD WAGNER","59000","lille",972,914,"59350_0626"
"38855","59350_7","59350_7","59350","7","ecole roger salengro cote filles","257","AVENUE ARTHUR NOTEBART","59160","lomme",519,519,"59350_0007"
"38856","59350_701","59350_701","59350","701","hotel de ville","0","PLACE AUGUSTIN LAURENT","59000","lille",345,344,"59350_0701"
"38857","59350_702","59350_702","59350","702","ecole lalo clement","0","RUE DES DEPORTES","59000","lille",483,483,"59350_0702"
"38858","59350_703","59350_703","59350","703","ecole lalo clement","0","RUE DES DEPORTES","59000","lille",527,527,"59350_0703"
"38859","59350_704","59350_704","59350","704","mairie de quartier de lille centre","31","RUE DES FOSSES","59000","lille",520,518,"59350_0704"
"38860","59350_8","59350_8","59350","8","ecole leon blum entree a","0","RUE MARX DORMOY","59160","lomme",679,622,"59350_0008"
"38861","59350_801","59350_801","59350","801","ecole elementaire leon jouhaux","0","AVENUE DE L'ARCH. LOUIS CORDONNIER","59000","lille",420,419,"59350_0801"
"38862","59350_802","59350_802","59350","802","ecole elementaire leon jouhaux","0","AVENUE DE L'ARCH. LOUIS CORDONNIER","59000","lille",782,774,"59350_0802"
"38863","59350_803","59350_803","59350","803","ecole desbordes valmore","4","RUE GUILLAUME TELL","59000","lille",588,575,"59350_0803"
"38864","59350_804","59350_804","59350","804","ecole desbordes valmore","4","RUE GUILLAUME TELL","59000","lille",668,666,"59350_0804"
"38865","59350_805","59350_805","59350","805","ecole desbordes valmore","4","RUE GUILLAUME TELL","59000","lille",594,594,"59350_0805"
"38866","59350_806","59350_806","59350","806","ecole jean jaures","6","RUE GUILLAUME TELL","59000","lille",1227,1221,"59350_0806"
"38867","59350_807","59350_807","59350","807","ecole ampere","64","RUE D'IENA","59000","lille",1103,1097,"59350_0807"
"38868","59350_808","59350_808","59350","808","salle brossolette","60","RUE MERMOZ","59000","lille",696,695,"59350_0808"
"38869","59350_809","59350_809","59350","809","ecole ampere","64","RUE D'IENA","59000","lille",938,934,"59350_0809"
"38870","59350_810","59350_810","59350","810","ecole andre","42","RUE PAUL LAFARGUE","59000","lille",659,658,"59350_0810"
"38871","59350_811","59350_811","59350","811","ecole boucher de perthes","85","BOULEVARD MONTEBELLO","59000","lille",695,686,"59350_0811"
"38872","59350_812","59350_812","59350","812","ecole chenier","6","RUE LEON BLUM","59000","lille",431,431,"59350_0812"
"38873","59350_813","59350_813","59350","813","salle polyvalente mairie de quartier de lille sud","83","RUE DU FAUBOURG DES POSTES","59000","lille",614,611,"59350_0813"
"38874","59350_814","59350_814","59350","814","salle polyvalente mairie de quartier de lille sud","83","RUE DU FAUBOURG DES POSTES","59000","lille",585,583,"59350_0814"
"38875","59350_816","59350_816","59350","816","ecole jean aicard","23","AVENUE VERHAEREN","59000","lille",598,598,"59350_0816"
"38876","59350_817","59350_817","59350","817","ecole beranger","4","RUE LEON BLUM","59000","lille",386,385,"59350_0817"
"38877","59350_818","59350_818","59350","818","ecole jean aicard","23","AVENUE VERHAEREN","59000","lille",698,695,"59350_0818"
"38878","59350_819","59350_819","59350","819","ecole bichat","0 ENTREE","RUE FULTON","59000","lille",778,777,"59350_0819"
"38879","59350_820","59350_820","59350","820","ecole bichat","0 ENTREE","RUE FULTON","59000","lille",654,654,"59350_0820"
"38880","59350_821","59350_821","59350","821","ecole bichat","0 ENTREE","RUE FULTON","59000","lille",858,856,"59350_0821"
"38881","59350_822","59350_822","59350","822","ecole chateaubriand","20","RUE DU PORT","59000","lille",385,383,"59350_0822"
"38882","59350_823","59350_823","59350","823","salle de sports jean calin","1","PLACE MICHELET","59000","lille",400,399,"59350_0823"
"38883","59350_824","59350_824","59350","824","salle de sports charles pacome","0","BOULEVARD DE LA MOSELLE","59000","lille",494,493,"59350_0824"
"38884","59350_826","59350_826","59350","826","ecole maternelle leon jouhaux","0","AVENUE DE L'ARCH. LOUIS CORDONNIER","59000","lille",474,473,"59350_0826"
"38885","59350_9","59350_9","59350","9","ecole lamartine","0","RUE LAMARTINE","59160","lomme",872,820,"59350_0009"
