"Code","LIB","mono","enf","Dipl","voit"
"01189","Injoux-Génissiat",13.2,7.4,4,97
"01190","Innimond",16.7,16.7,9.9,97.5
"01191","Izenave",0,0,3.2,97.2
"01192","Izernore",13.2,8.5,5.7,92.3
"01193","Izieu",26.7,0,5.1,95.1
"01194","Jassans-Riottier",17.2,9.9,5.5,88.9
"01195","Jasseron",16.2,8.7,5.1,97.1
"01196","Jayat",7.3,9.5,2.5,95.5
"01197","Journans",9,0,4.9,97.4
"01198","Joyeux",12.5,12.2,3.6,96
"01199","Jujurieux",18.1,8.8,3.9,91
"01200","Labalme",15.4,7.7,6.1,92.3
"01202","Lagnieu",15.1,9,6.2,88
"01203","Laiz",4.1,12.9,5.3,96
"01204","Le Poizat-Lalleyriat",14.6,14.7,5,96.6
"01206","Lantenay",6.2,5.9,6,90
"01207","Lapeyrouse",10.8,9.7,6.2,97.4
"01208","Lavours",14.3,0,5.5,92.4
"01209","Léaz",8.7,8.7,4.3,95.6
"01210","Lélex",7.7,7.6,6.1,86.8
"01211","Lent",18.7,8.5,4.4,94.6
"01212","Lescheroux",6.7,11.1,4,96.2
"01213","Leyment",14.4,11.4,5,96.6
"01214","Leyssard",20,0,5.5,97.3
"01215","Surjoux-Lhopital",0,0,6.6,96.7
"01216","Lhuis",4.1,9.4,7.4,94.4
"01219","Lompnas",0,9.1,6.1,90.9
"01224","Loyettes",10.7,11,5.1,95
"01225","Lurcy",8.6,6.8,6.3,97.1
"01227","Magnieu",10.5,13.2,5.9,96.7
"01228","Maillat",7.9,7.9,3.2,95.9
"01229","Malafretaz",13.4,8.9,4.4,91.2
"01230","Mantenay-Montlin",22.4,10.7,4.7,95
"01231","Manziat",12.9,7.8,6,94.8
"01232","Marboz",6.1,7.7,5.1,92.4
"01233","Marchamp",25,25,7.1,96.7
"01234","Marignieu",0,0,7.9,93.6
"01235","Marlieux",6.2,12.3,5.4,90.4
"01236","Marsonnas",8.5,11.9,4.1,95.9
"01237","Martignat",10.1,10.8,4.9,97.3
"01238","Massieux",17.2,11.7,3.9,96.6
"01239","Massignieu-de-Rives",5.2,7.4,20,93
"01240","Matafelon-Granges",5.2,7.2,3,96.9
"01241","Meillonnas",18.8,6.2,5.4,95.8
"01242","Mérignat",28.6,14.3,4.2,95.1
"01243","Messimy-sur-Saône",5.1,7.6,5.1,97.2
"01244","Meximieux",17.2,10.4,6.2,89.1
"01245","Bohas-Meyriat-Rignat",12.5,9.1,4,97
"01246","Mézériat",13.8,11,5.6,91.2
"01247","Mijoux",5.3,0,2.6,98.6
"01248","Mionnay",8.8,6.6,3.8,97.5
"01249","Miribel",15.2,10.7,4.8,88.6
"01250","Misérieux",9,9.2,5.1,96.6
"01252","Mogneneins",15.2,10.9,6,95.2
"01254","Montagnat",8.4,9.1,4,98.5
"01255","Montagnieu",13.5,10.8,6.1,94.4
"01257","Montanges",4.8,9.5,4.8,98
"01258","Montceaux",5.4,10.4,4.8,96.8
"01259","Montcet",7,2.3,3.8,97.4
"01260","Le Montellier",15.8,15.8,3.3,100
