"IRIS","DISP_TP6019"
130280106,"13.4"
130280107,"9.9"
130280108,18
130280109,12540
130280110,"8.7"
130280111,"9.6"
130280112,"15.2"
130280113,"13.3"
130280114,"14.9"
130390101,"11.2"
130390105,5
130390106,"12.3"
130390107,17840
130390108,"13.6"
130410101,18
130410102,"18.3"
130410103,"9.8"
130410104,14090
130410105,18780
130410106,"11.9"
130410107,"10.4"
130410108,10
130470101,"9.2"
130470102,"27.3"
130470103,19
130470104,"9.2"
130470105,17470
130470106,"20.4"
130470107,"36.6"
130470108,20200
130470109,"10.4"
130470110,"8.6"
130470111,"18.9"
130470112,20810
130470113,"10.4"
130470114,19050
130470115,20340
130470116,"17.9"
130540101,19270
130540102,17160
130540103,32
130540104,14
130540105,"8.3"
130540106,10450
130540107,"12.8"
130540108,"14.7"
130540109,"10.8"
130540110,"16.2"
130540111,"38.4"
130540112,"37.4"
130540113,19340
130540114,10
130540115,"26.2"
130560101,"7.5"
130560102,19730
130560103,"15.1"
130560104,"8.6"
130560105,"32.1"
130560106,19
130560107,"13.7"
130560108,"28.8"
130560109,"32.4"
130560110,"16.8"
130560111,20490
130560112,10660
130560113,18980
130560114,"9.9"
130560115,9
130560116,10870
130560117,"16.2"
130560118,"30.9"
130560119,18
130630101,"6.9"
130630102,"45.4"
130630103,"45.2"
130630104,"12.4"
130630105,"35.7"
130630106,"23.5"
130630107,"22.6"
130630108,16870
130630109,"11.5"
130690101,17090
130690102,22320
130690103,"7.6"
130710102,21160
130710103,20820
130710104,"9.1"
130710105,18080
130710106,19850
130710107,"6.8"
130710108,18600
130710109,15
130750101,17740
130750102,19530
130750103,19420
130750104,21310
130750105,18920
130770101,12210
130770102,"21.3"
130770103,"37.5"
130770104,"21.9"
130770105,"18.6"
130770106,19890
130770107,"35.5"
130770108,"14.3"
130810101,"6.8"
130810102,17420
130810103,"9.8"
130810104,18660
130810105,"11.1"
130970101,"9.7"
130970102,"13.1"
130970103,18160
130970104,15040
130970105,18350
131000101,"24.2"
131000102,"10.6"
131000103,"18.1"
131000104,"15.6"
131030101,"19.1"
131030102,"12.1"
131030103,"21.1"
131030104,20
131030105,"24.9"
131030106,10380
131030107,"11.9"
131030108,19
131030109,"10.6"
131030110,"16.1"
131030111,11970
131030112,"13.1"
131030113,"7.4"
131030114,6
131030115,"8.1"
131060101,17560
131060102,"10.4"
131060103,"9.8"
131060104,11200
131080101,"19.5"
131080102,"17.6"
131080103,"23.8"
131080104,"45.2"
